"codigo","UF","municipio","indice_envelhecimento","prop_idosos","prop_menores_5_anos","razao_dependencia","razao_sexos","prop_nascidos_vivos_sem_pre_natal","prop_partos_cesarios","tx_natalidade","tx_mortalidade","tme_ap_circulatorio","tme_ap_digestivo","tme_ap_respiratorio","tme_causas_externas","tme_cerebrovasculares","tme_diabetes_melitus","tme_isquemicas_coracao","tme_neonatal_precoce","tme_neoplasias","equipes_saude","gasto_saude_per_capta","internacoes_hospitalares","leitos_sus","valor_medio_internacao","cobertura_BCG","cobertura_covid","cobertura_febreamarela","cobertura_hepatiteA","cobertura_hepatiteB","cobertura_meningococicaC","cobertura_pneumo","cobertura_polio","cobertura_rotavirus","cobertura_tetravalente","cobertura_tripliceviral","cobertura_varicela","tx_abandonovacina","ti_acidentes_animais_peconhentos","ti_dengue","ti_intoxicacao_exogena","ti_oncologia","ti_violencia_autoprovocada","prop_votos_bolsonaro","prop_votos_lula"
"292805","BA","Santa Luzia",41.77,14.471790443293,7.30426021876799,59.1752577319588,110.67,0.740740740740741,35.5555555555556,11.4639945652174,9.00135869565217,543.478260869565,118.885869565217,322.690217391304,101.902173913043,118.885869565217,144.361413043478,93.4103260869565,0,237.771739130435,93.4103260869565,56.6517119565217,5.13756793478261,246.942934782609,1102.7,47.83,57.7615489130435,55.9,52.8,54.04,62.73,63.98,52.17,56.52,24.22,52.8,54.66,27.6497695852535,42.4592391304348,59.4429347826087,16.9836956521739,450.067934782609,84.9184782608696,0.312616426756986,0.687383573243014
"292810","BA","Santa Maria da Vitória",53.9,16.0190653818257,6.36980623769558,58.8184473608426,99.72,3.38266384778013,53.9112050739958,12.2266452980406,7.59964845163625,504.058315669751,124.075893087939,165.434524117252,80.1323476192938,124.075893087939,62.0379465439694,144.755208602595,19.0274841437632,237.812128418549,62.0379465439694,53.9943744507057,5.67905702321253,15.8196763687122,950.76,113.77,71.8347722690379,74,69.79,80.88,88.15,89.48,80.69,86.04,8.03,85.09,74,28.6840175953079,542.832032259732,2329.00790983818,59.4530321046373,74.9625187406297,64.6228609833015,0.268484348543394,0.731515651456606
"292820","BA","Santana",68.32,18.8689153706322,6.17249040597859,63.1193990511334,103.38,0,43.0147058823529,10.9774800226007,8.27346839938655,702.235854386956,100.89595609008,217.935265154573,56.5017354104448,217.935265154573,96.8601178464767,157.397691500525,7.35294117647059,213.899426910969,52.4658971668416,55.5112434417629,7.42594236822988,98.3130196141739,747.53,109.27,85.2974412785535,86.09,81.13,86.42,88.41,92.05,86.75,83.11,73.84,88.74,115.56,32.1401938851603,213.899426910969,209.863588667366,16.1433529744128,92.8242796028735,0,0.258889307701973,0.741110692298027
"292830","BA","Santanópolis",67.87,18.0931620009179,5.58742542450665,61.4373032042971,90.26,1.61290322580645,45.1612903225806,6.306581222663,7.52720984640423,467.907639100804,50.8595259892178,233.953819550402,122.062862374123,254.297629946089,71.2033363849049,20.3438103956871,0,244.125724748245,101.719051978436,52.5798006306581,2.97019631777032,15.8681721086359,1770.25,143.64,89.85861051775,116.36,140,138.18,134.55,149.09,141.82,114.55,29.09,154.55,147.27,22.5352112676056,844.268131421015,10.1719051978436,0,172.92238836334,81.3752415827484,0.164611499034319,0.835388500965681
"292840","BA","Santa Rita de Cássia",48.06,16.2248995983936,7.18875502008032,66.8900804289544,104.63,1.17994100294985,36.283185840708,12.070930066942,6.72981056829511,470.018515880929,142.429853297251,213.644779945877,53.4111949864692,178.037316621564,78.3364193134881,145.990599629682,5.89970501474926,210.084033613445,71.2149266486255,62.0810774818402,6.39510041304657,10.2549494374021,970.76,89.38,112.84361202108,82.64,94.3,92.75,94.3,94.56,90.67,88.86,9.84,96.89,100.52,25.6574585635359,284.859706594502,195.84104828372,121.065375302663,210.084033613445,252.812989602621,0.207556338455931,0.792443661544069
"292850","BA","Santa Terezinha",70.43,18.3411550617757,6.12968106503209,60.0398528510117,93.6,0,45.0381679389313,13.3810010214505,9.19305413687436,827.374872318693,61.2870275791624,418.79468845761,122.574055158325,224.719101123596,306.435137895812,81.7160367722166,7.63358778625954,275.791624106231,112.359550561798,88.5658569969357,6.84371807967314,34.3207354443309,1294.12,105.41,87.7630234933606,65.54,78.38,81.08,87.16,83.11,80.41,79.05,20.27,73.65,84.46,17.816091954023,643.513789581205,20.4290091930541,20.4290091930541,163.432073544433,40.8580183861083,0.186633815829997,0.813366184170003
"292860","BA","Santo Amaro",62.71,17.2195243876312,5.68092551596087,56.611212078848,89,2.99065420560748,38.3177570093458,9.56467328148744,8.74229015821936,690.086707785823,125.145257888621,330.741038705641,114.418521498168,235.98820058997,200.232412621793,184.142308036113,13.0841121495327,339.679985697685,62.5726289443104,65.5872233842853,4.24599982122106,18.4499865915795,1536.27,71.97,89.6165191740413,38.24,22.32,52.42,53.81,57.44,50.87,51.73,11.42,47.92,35.47,1.87439143135346,92.9650487172611,12.5145257888621,23.2412621793153,175.203361044069,32.1802091713596,0.153081836545286,0.846918163454714
"292870","BA","Santo Antônio de Jesus",42.93,12.5020620057251,5.97836106933191,46.641148597692,87.47,0.8110300081103,68.2887266828873,11.9644849837465,7.50084906118092,844.209402746106,101.887341710737,199.893260880113,137.79050021833,238.707486293727,190.189704526709,155.256901654456,11.3544201135442,274.61064480132,45.6067148609966,83.5097073407404,6.9496870603076,31.5559652612683,1200.63,171.36,84.8556595992431,64.39,65.15,74.77,71.89,75.3,74.62,72.42,6.74,86.29,60.61,19.187727315117,23.2885352481685,16.496045800786,40.7549366842948,164.96045800786,48.5177817670176,0.319189856182453,0.680810143817547
"292880","BA","Santo Estêvão",43.68,14.1097253041549,7.29971688729053,58.6380602676539,90.22,2.33644859813084,47.5077881619938,11.5268600976731,6.78684286124677,635.593220338983,149.023269175524,154.409652398736,80.7957483481758,193.909796035622,181.341568514795,168.773340993967,1.55763239875389,245.978167193335,64.6365986785407,56.8613187661591,5.16913243320885,20.0373455903476,1097.35,79,77.1150531456478,74.92,91.38,94.98,97.18,104.23,93.73,91.38,22.73,100.47,88.56,27.1351513335331,450.660729675381,89.7730537201953,107.727664464234,147.22780810112,186.727951738006,0.161901865369019,0.838098134630981
"292890","BA","São Desidério",28.81,10.5306445717071,8.38308760813939,55.3326393489164,105.78,0.686106346483705,55.0600343053173,15.8454053760226,5.1912048487484,347.892262115076,157.638681270894,157.638681270894,62.5118908488028,105.998423613187,35.3328078710624,81.537248933221,5.14579759862779,146.767048079798,73.3835240398989,57.530827059495,5.32981817193488,8.1537248933221,1077.77,93.61,60.4109477346234,84.67,82.3,91.42,92.88,92.88,88.87,86.5,4.74,106.02,83.21,22.4449463579898,125.023781697606,260.919196586307,2.71790829777403,190.253580844182,19.0253580844182,0.302571096630803,0.697428903369197
